Dais_quadrant,tf,tf_adjusted
HE-HC,9.912908253262415e-5,0.09023126700397567
HE-HC,1.7314981192376126e-4,0.10436518144837269
HE-HC,2.1325796044847431e-4,0.11019550444363718
HE-HC,3.42875757510047e-4,0.1247304105209192
HE-HC,3.4222359249338504e-4,0.12466846724375003
HE-HC,3.1352833176025695e-4,0.12185217286063953
HE-HC,5.0053665028808576e-5,0.07549656182336915
HE-HC,6.146655282039359e-5,0.07965286187068447
HE-HC,1.268460957407592e-4,0.09622647441175225
HE-HC,6.66838729536896e-5,0.08136413185465244
HE-HC,2.152144554984603e-5,0.0605739322133793
HE-HC,3.146696205394155e-5,0.06688551345131492
HE-HC,2.2711646705254185e-4,0.11202065739422873
HE-HC,3.7988612220561556e-5,0.07025453791357282
HE-HC,4.010814852471306e-5,0.07125682973511697
HE-HC,3.316259109726275e-4,0.12364944190232566
HE-HC,2.2646430203587985e-4,0.11193664101088736
HE-HC,1.8619311225700127e-4,0.10636169280147685
HE-HC,2.815722459438189e-4,0.11848191074845964
HE-HC,1.5978042908219023e-5,0.056045047036484656
HE-HC,2.9999590766452046e-5,0.06605730707488247
HE-HC,2.624964192064554e-5,0.06379549560823236
HE-HC,1.0940068154505066e-4,0.09258253572225045
HE-HC,3.0553931030614744e-4,0.12103431670271518
HE-HC,1.6695424426547224e-4,0.10337768440338883
HE-HC,2.845069885187979e-4,0.11880287889377342
HE-HC,7.662938945778511e-6,0.04626712957170135
HE-HC,5.4455778891277084e-5,0.07717536615887409
HE-HC,2.119536304151503e-6,0.03308589016625991
HE-HC,1.7999754459871225e-4,0.10542669577139341
HE-HC,1.6630207924881024e-4,0.10327217034227731
HE-HC,9.130310233268014e-6,0.048431226360081826
HE-HC,1.930408449319523e-4,0.10736873005270703
HE-HC,1.2065052808247018e-5,0.05208435999103197
HE-HC,2.021711551652203e-4,0.10867116791461885
HE-HC,1.8880177232364929e-4,0.10674850354029157
HE-HC,1.464110462406192e-4,0.09989611523587373
HE-HC,3.961902476221656e-5,0.07102907104365853
HE-HC,0.0017266068816126476,0.19017263579397234
HE-HC,9.779214424846705e-4,0.1639575276897209
HE-HC,3.423866337475505e-6,0.037495980279912966
HE-HC,5.412969638294608e-5,0.07705452325628426
HE-HC,2.608660066648004e-5,0.06369187191940669
HE-HC,0.001687640021867093,0.18904335920924298
HE-HC,0.001369546534990202,0.17901764253572405
HE-HC,5.228733021087593e-4,0.13924742583827798
