Quadrant,education,month,N,initial_count,index,xy
HE-LC,No PSE,2020-05-01,11751,22528,52.16175426136363,HE-LC No PSE
HE-LC,No PSE,2020-06-01,17718,22528,78.64879261363636,HE-LC No PSE
HE-LC,No PSE,2020-07-01,19048,22528,84.55255681818183,HE-LC No PSE
HE-LC,No PSE,2020-08-01,19463,22528,86.39470880681817,HE-LC No PSE
HE-LC,No PSE,2020-09-01,19778,22528,87.79296875,HE-LC No PSE
HE-LC,No PSE,2020-10-01,19117,22528,84.85884232954545,HE-LC No PSE
HE-LC,No PSE,2020-11-01,16777,22528,74.4717684659091,HE-LC No PSE
HE-LC,No PSE,2020-12-01,11850,22528,52.60120738636363,HE-LC No PSE
HE-LC,No PSE,2021-01-01,13823,22528,61.35919744318182,HE-LC No PSE
HE-LC,No PSE,2021-02-01,16512,22528,73.29545454545455,HE-LC No PSE
HE-LC,No PSE,2021-03-01,23455,22528,104.11487926136364,HE-LC No PSE
HE-LC,No PSE,2021-04-01,19045,22528,84.53924005681817,HE-LC No PSE
HE-LC,No PSE,2021-05-01,20246,22528,89.87038352272727,HE-LC No PSE
HE-LC,No PSE,2021-06-01,27944,22528,124.04119318181819,HE-LC No PSE
HE-LC,No PSE,2021-07-01,26613,22528,118.13299005681819,HE-LC No PSE
HE-LC,No PSE,2021-08-01,26087,22528,115.79811789772727,HE-LC No PSE
HE-LC,No PSE,2021-09-01,25943,22528,115.15891335227273,HE-LC No PSE
HE-LC,No PSE,2021-10-01,28938,22528,128.45348011363635,HE-LC No PSE
HE-LC,No PSE,2021-11-01,26240,22528,116.47727272727273,HE-LC No PSE
HE-LC,No PSE,2021-12-01,20218,22528,89.74609375,HE-LC No PSE
HE-LC,No PSE,2022-01-01,25099,22528,111.41246448863636,HE-LC No PSE
HE-LC,No PSE,2022-02-01,26426,22528,117.30291193181819,HE-LC No PSE
HE-LC,No PSE,2022-03-01,33037,22528,146.6486150568182,HE-LC No PSE
HE-LC,No PSE,2022-04-01,35587,22528,157.9678622159091,HE-LC No PSE
HE-LC,No PSE,2022-05-01,36265,22528,160.9774502840909,HE-LC No PSE
HE-LC,No PSE,2022-06-01,35028,22528,155.4865056818182,HE-LC No PSE
HE-LC,No PSE,2022-07-01,31197,22528,138.48100142045453,HE-LC No PSE
HE-LC,No PSE,2022-08-01,32607,22528,144.73987926136365,HE-LC No PSE
HE-LC,No PSE,2022-09-01,30482,22528,135.30717329545453,HE-LC No PSE
HE-LC,No PSE,2022-10-01,29020,22528,128.8174715909091,HE-LC No PSE
HE-LC,No PSE,2022-11-01,27676,22528,122.8515625,HE-LC No PSE
HE-LC,No PSE,2022-12-01,20924,22528,92.8799715909091,HE-LC No PSE
HE-LC,No PSE,2023-01-01,26002,22528,115.42080965909092,HE-LC No PSE
HE-LC,No PSE,2023-02-01,22326,22528,99.10333806818183,HE-LC No PSE
HE-LC,No PSE,2023-03-01,26059,22528,115.673828125,HE-LC No PSE
HE-LC,No PSE,2023-04-01,22633,22528,100.46608664772727,HE-LC No PSE
HE-LC,No PSE,2023-05-01,22937,22528,101.81551846590908,HE-LC No PSE
HE-LC,No PSE,2023-06-01,21777,22528,96.66637073863636,HE-LC No PSE
HE-LC,No PSE,2023-07-01,21161,22528,93.93199573863636,HE-LC No PSE
HE-LC,No PSE,2023-08-01,24373,22528,108.18980823863636,HE-LC No PSE
HE-LC,No PSE,2023-09-01,22426,22528,99.54723011363636,HE-LC No PSE
HE-LC,No PSE,2023-10-01,18777,22528,83.349609375,HE-LC No PSE
HE-LC,No PSE,2023-11-01,19729,22528,87.57546164772727,HE-LC No PSE
HE-LC,No PSE,2023-12-01,13191,22528,58.55379971590909,HE-LC No PSE
HE-LC,No PSE,2024-01-01,17809,22528,79.052734375,HE-LC No PSE
HE-LC,No PSE,2024-02-01,16367,22528,72.65181107954545,HE-LC No PSE
HE-LC,No PSE,2024-03-01,17236,22528,76.50923295454545,HE-LC No PSE
HE-LC,No PSE,2024-04-01,17166,22528,76.19850852272727,HE-LC No PSE
HE-LC,No PSE,2024-05-01,18746,22528,83.2120028409091,HE-LC No PSE
HE-LC,No PSE,2024-06-01,17938,22528,79.62535511363636,HE-LC No PSE
HE-LC,No PSE,2024-07-01,18226,22528,80.90376420454545,HE-LC No PSE
HE-LC,PSE,2018-01-01,34091,34091,100,HE-LC PSE
HE-LC,PSE,2018-02-01,32069,34091,94.06881581649115,HE-LC PSE
HE-LC,PSE,2018-03-01,36181,34091,106.13065031826582,HE-LC PSE
HE-LC,PSE,2018-04-01,34062,34091,99.91493356017718,HE-LC PSE
HE-LC,PSE,2018-05-01,35028,34091,102.74852600393065,HE-LC PSE
HE-LC,PSE,2018-06-01,33640,34091,98.67707019447948,HE-LC PSE
HE-LC,PSE,2018-07-01,34453,34091,101.06186383502977,HE-LC PSE
HE-LC,PSE,2018-08-01,35667,34091,104.62292100554397,HE-LC PSE
HE-LC,PSE,2018-09-01,32540,34091,95.45041213223432,HE-LC PSE
HE-LC,PSE,2018-10-01,35298,34091,103.54052389193629,HE-LC PSE
HE-LC,PSE,2018-11-01,34020,34091,99.79173388870963,HE-LC PSE
HE-LC,PSE,2018-12-01,27446,34091,80.50805197852806,HE-LC PSE
HE-LC,PSE,2019-01-01,37846,34091,111.01463729430054,HE-LC PSE
HE-LC,PSE,2019-02-01,34517,34091,101.24959666774222,HE-LC PSE
